,RaceId,DriverId,ConstructorId,GridNumber,QualifyingPosition,CircuitId,TotalDriverPoints
808,341,9,4,7,7,4,44
809,341,10,166,22,21,4,0
810,341,13,6,9,9,4,49
811,341,15,205,18,19,4,0
812,341,16,10,11,11,4,16
813,341,17,9,1,1,4,53
814,341,18,1,5,5,4,70
815,341,20,9,2,2,4,60
816,341,22,3,17,18,4,7
817,341,24,10,16,17,4,8
818,341,30,131,6,6,4,22
819,341,37,15,12,12,4,0
820,341,67,5,14,15,4,0
821,341,153,5,15,16,4,3
822,341,155,15,10,10,4,0
823,341,807,3,13,13,4,1
824,341,808,4,19,14,4,6
825,341,810,166,23,22,4,0
826,341,811,164,21,24,4,0
827,341,812,164,24,23,4,0
828,342,1,1,5,5,6,59
829,342,3,131,6,6,6,56
830,342,4,6,24,24,6,75
831,342,5,205,18,18,6,0
832,342,9,4,2,2,6,59
833,342,10,166,20,20,6,0
834,342,13,6,4,4,6,61
835,342,15,205,19,19,6,0
836,342,16,10,12,12,6,20
837,342,17,9,1,1,6,78
838,342,18,1,8,8,6,70
839,342,20,9,3,3,6,78
840,342,22,3,9,9,6,7
841,342,24,10,10,10,6,10
842,342,30,131,7,7,6,22
843,342,37,15,15,15,6,0
844,342,67,5,13,13,6,1
845,342,153,5,17,17,6,3
846,342,155,15,16,16,6,0
847,342,807,3,11,11,6,1
848,342,808,4,14,14,6,6
849,342,810,166,21,21,6,0
850,342,811,164,22,22,6,0
851,342,812,164,23,23,6,0
852,343,1,1,2,2,5,84
